	T	す	明日は我が身	あすはわがみ
MISSING_CANDIDATE	日	に	460
	T	に	やさしい日本語	やさしいにほんご
	T	に	わが日本	わがにほん
	T	に	上代日本語	じょうだいにほんご
	T	に	中世日本語	ちゅうせいにほんご
	T	に	中古日本語	ちゅうこにほんご
MISSING_CANDIDATE	日	ぴ	13
	T	ぴ	一日	いっぴ
	T	ぴ	交付年月日	こうふねんがっぴ
	T	ぴ	出生年月日	しゅっしょうねんがっぴ
	T	ぴ	出生年月日	しゅっせいねんがっぴ
	T	ぴ	天日	てんぴ
MISSING_CANDIDATE	早	はよ	7
	T	はよ	お早う	おはよう
	T	はよ	お早うございます	おはようございます
	T	はよ	お早うさん	おはようさん
	T	はよ	お早う御座います	おはようございます
	T	はよ	御早う	おはよう
MISSING_CANDIDATE	月	つく	4
	T	つく	月夜	つくよ
	T	つく	月夜見	つくよみ
	T	つく	月読	つくよみ
	T	つく	月読み	つくよみ
MISSING_CANDIDATE	木	こっ	3
	T	こっ	木端	こっぱ
	T	こっ	木端役人	こっぱやくにん
	T	こっ	木葉	こっぱ
MISSING_CANDIDATE	木	ぼ	8
	T	ぼ	唐木瓜	からぼけ
	T	ぼ	木瓜	ぼけ
	T	ぼ	淀木瓜	よどぼけ
	T	ぼ	焼け木杭	やけぼくい
	T	ぼ	白木瓜	しろぼけ
MISSING_CANDIDATE	木	も	14
	T	も	さらし木綿	さらしもめん
	T	も	南京木綿	なんきんもめん
	T	も	吾木香	われもこう
	T	も	天竺木綿	てんじくもめん
	T	も	晒し木綿	さらしもめん
MISSING_CANDIDATE	本	ほ	3
	T	ほ	本意	ほい
	T	ほ	本意ない	ほいない
	T	ほ	本意無い	ほいない
MISSING_CANDIDATE	校	あぜ	3
	T	あぜ	校倉	あぜくら
	T	あぜ	校倉造	あぜくらづくり
	T	あぜ	校倉造り	あぜくらづくり
MISSING_CANDIDATE	気	い	3
	T	い	気吹	いぶき
	T	い	気吹く	いふく
	T	い	気吹く	いぶく
MISSING_CANDIDATE	気	か	4
	T	か	オムツ気触れ	おむつかぶれ
	T	か	気触れ	かぶれ
	T	か	気触れる	かぶれる
	T	か	西洋気触れ	せいようかぶれ
MISSING_CANDIDATE	気	く	4
	T	く	意気地	いくじ
	T	く	意気地なし	いくじなし
	T	く	意気地のない	いくじのない
	T	く	意気地無し	いくじなし
MISSING_CANDIDATE	水	み	12
	T	み	水尾	みお
	T	み	水戸	みと
	T	み	水戸黄門	みとこうもん
	T	み	水漬く	みづく
	T	み	水漬くかばね	みづくかばね
MISSING_CANDIDATE	水	みな	6
	T	みな	水上	みなかみ
	T	みな	水俣病	みなまたびょう
	T	みな	水口	みなくち
	T	みな	水底	みなそこ
	T	みな	水底	みなぞこ
MISSING_CANDIDATE	火	が	3
	T	が	火灯	がとう
	T	が	火頭	がとう
	T	が	連火	れんが
MISSING_CANDIDATE	火	ご	4
	T	ご	掘り火燵	ほりごたつ
	T	ご	掘火燵	ほりごたつ
	T	ご	置き火燵	おきごたつ
	T	ご	置火燵	おきごたつ
MISSING_CANDIDATE	生	あい	4
	T	あい	お生憎さま	おあいにくさま
	T	あい	お生憎様	おあいにくさま
	T	あい	御生憎様	おあいにくさま
	T	あい	生憎	あいにく
MISSING_CANDIDATE	生	いき	15
	T	いき	死生	しにいき
	T	いき	生人形	いきにんぎょう
	T	いき	生作り	いきづくり
	T	いき	生写し	いきうつし
	T	いき	生地獄	いきじごく
MISSING_CANDIDATE	生	いく	5
	T	いく	生	いく
	T	いく	生井	いくい
	T	いく	生日	いくひ
	T	いく	生玉	いくたま
	T	いく	生野鉱	いくのこう
MISSING_CANDIDATE	生	ぜい	3
	T	ぜい	平生	へいぜい
	T	ぜい	平生は	へいぜいは
	T	ぜい	平生着	へいぜいぎ
MISSING_CANDIDATE	生	なり	3
	T	なり	千生	せんなり
	T	なり	千生瓢箪	せんなりびょうたん
	T	なり	末生	すえなり
MISSING_CANDIDATE	生	ば	3
	T	ば	下生え	したばえ
	T	ば	芽生え	めばえ
	T	ば	芽生える	めばえる
MISSING_CANDIDATE	生	ふ	6
	T	ふ	となりの芝生は青い	となりのしばふはあおい
	T	ふ	生	ふ
	T	ふ	芝生	しばふ
	T	ふ	芝生茸	しばふたけ
	T	ふ	藍染芝生茸	あいぞめしばふたけ
MISSING_CANDIDATE	生	よい	8
	T	よい	大阪府立弥生文化博物館	おおさかふりつやよいぶんかはくぶつかん
	T	よい	弥生	やよい
	T	よい	弥生人	やよいじん
	T	よい	弥生土器	やよいどき
	T	よい	弥生尽	やよいじん
MISSING_CANDIDATE	百	お	7
	T	お	八百	やお
	T	お	八百万	やおよろず
	T	お	八百万の神	やおよろずのかみ
	T	お	八百屋	やおや
	T	お	八百屋防風	やおやぼうふう
MISSING_CANDIDATE	百	ぴゃく	13
	T	ぴゃく	うそ八百	うそはっぴゃく
	T	ぴゃく	ウソ八百	うそはっぴゃく
	T	ぴゃく	八百	はっぴゃく
	T	ぴゃく	八百万	はっぴゃくまん
	T	ぴゃく	八百八寺	はっぴゃくやでら
MISSING_CANDIDATE	目	まな	3
	T	まな	目交い	まなかい
	T	まな	目差	まなざし
	T	まな	目差し	まなざし
MISSING_CANDIDATE	石	いわ	5
	T	いわ	浮石	うきいわ
	T	いわ	石屋	いわや
	T	いわ	石木	いわき
	T	いわ	石茸	いわたけ
	T	いわ	石見	いわみ
MISSING_CANDIDATE	石	し	4
	T	し	明石潟	あかしがた
	T	し	明石焼	あかしやき
	T	し	明石焼き	あかしやき
	T	し	重石	おもし
MISSING_CANDIDATE	空	うつ	14
	T	うつ	三葉空木	みつばうつぎ
	T	うつ	姫空木	ひめうつぎ
	T	うつ	梅花空木	ばいかうつぎ
	T	うつ	毒空木	どくうつぎ
	T	うつ	空け	うつけ
MISSING_CANDIDATE	立	たつ	7
	T	たつ	出立	しゅったつ
	T	たつ	突立	とったつ
	T	たつ	立偏	たつへん
	T	たつ	立田姫	たつたひめ
	T	たつ	立田揚	たつたあげ
MISSING_CANDIDATE	竹	たか	3
	T	たか	竹むら	たかむら
	T	たか	竹叢	たかむら
	T	たか	竹席	たかむしろ
MISSING_CANDIDATE	耳	くらげ	6
	T	くらげ	あらげ木耳	あらげきくらげ
	T	くらげ	木耳	きくらげ
	T	くらげ	白木耳	しろきくらげ
	T	くらげ	粗毛木耳	あらげきくらげ
	T	くらげ	荒毛木耳	あらげきくらげ
MISSING_CANDIDATE	見	まみ	3
	T	まみ	相見え	あいまみえ
	T	まみ	相見える	あいまみえる
	T	まみ	見える	まみえる
MISSING_CANDIDATE	赤	か	9
	T	か	まっ赤	まっか
	T	か	まっ赤なウソ	まっかなうそ
	T	か	まっ赤な嘘	まっかなうそ
	T	か	真っ赤	まっか
	T	か	真っ赤っか	まっかっか
MISSING_CANDIDATE	赤	しゃっ	3
	T	しゃっ	赤口	しゃっく
	T	しゃっ	赤口	しゃっこう
	T	しゃっ	赤脚	しゃっきゃく
MISSING_CANDIDATE	足	そ	4
	T	そ	イカ下足	いかげそ
	T	そ	下足	げそ
	T	そ	下足痕	げそこん
MISSING_CANDIDATE	青	さお	3
	T	さお	まっ青	まっさお
	T	さお	真っ青	まっさお
	T	さお	真青	まさお
