	T	わげ	曲物屋	わげものや
MISSING_CANDIDATE	柱	じ	5
	T	じ	天柱	てんじ
	T	じ	柱	じ
	T	じ	琴柱	ことじ
	T	じ	筝柱	ことじ
	T	じ	箏柱	ことじ
MISSING_CANDIDATE	決	きま	13
	T	きま	お決り	おきまり
	T	きま	に決っている	にきまっている
	T	きま	御決り	おきまり
	T	きま	決って	きまって
	T	きま	決り	きまり
MISSING_CANDIDATE	決	きめ	3
	T	きめ	取決	とりきめ
	T	きめ	決所	きめどころ
	T	きめ	決込む	きめこむ
MISSING_CANDIDATE	波	わ	3
	T	わ	阿波	あわ
	T	わ	阿波おどり	あわおどり
	T	わ	阿波踊り	あわおどり
MISSING_CANDIDATE	深	じん	3
	T	じん	深厚	じんこう
	T	じん	深重	じんじゅう
	T	じん	甚深	じんじん
MISSING_CANDIDATE	深	ふけ	3
	T	ふけ	深	ふけ
	T	ふけ	深田	ふけた
	T	ふけ	深田	ふけだ
MISSING_CANDIDATE	温	うん	5
	T	うん	温州みかん	うんしゅうみかん
	T	うん	温州ミカン	うんしゅうみかん
	T	うん	温明殿	うんめいでん
	T	うん	温気	うんき
	T	うん	温麺	うんめん
MISSING_CANDIDATE	温	ぬる	6
	T	ぬる	水温む	みずぬるむ
	T	ぬる	温い	ぬるい
	T	ぬる	温む	ぬるむ
	T	ぬる	温める	ぬるめる
	T	ぬる	温燗	ぬるかん
MISSING_CANDIDATE	漢	おとこ	3
	T	おとこ	漢	おとこ
	T	おとこ	漢は黙って	おとこはだまって
	T	おとこ	漢気	おとこぎ
MISSING_CANDIDATE	漢	から	5
	T	から	漢	から
	T	から	漢人	からびと
	T	から	漢心	からごころ
	T	から	漢竹	からたけ
	T	から	漢詩	からうた
MISSING_CANDIDATE	物	も	3
	T	も	作物所	つくもどころ
	T	も	物怪	もけ
	T	も	造物所	つくもどころ
MISSING_CANDIDATE	界	さかい	3
	T	さかい	幽冥界を異にする	ゆうめいさかいをことにする
	T	さかい	幽明界を異にする	ゆうめいさかいをことにする
	T	さかい	界	さかい
MISSING_CANDIDATE	畑	ばた	5
	T	ばた	山畑	やまばた
	T	ばた	桑畑	くわばた
	T	ばた	焼き畑	やきばた
	T	ばた	焼畑	やきばた
	T	ばた	田畑	でんばた
MISSING_CANDIDATE	病	ぺい	8
	T	ぺい	三大疾病	さんだいしっぺい
	T	ぺい	中国疾病予防管理センター	ちゅうごくしっぺいよぼうかんりせんたー
	T	ぺい	公務疾病	こうむしっぺい
	T	ぺい	疾病	しっぺい
	T	ぺい	疾病保険	しっぺいほけん
MISSING_CANDIDATE	皮	はだ	3
	T	はだ	木皮	こはだ
	T	はだ	桧皮	ひはだ
	T	はだ	檜皮	ひはだ
MISSING_CANDIDATE	皮	わだ	8
	T	わだ	桧皮	ひわだ
	T	わだ	桧皮ぶき	ひわだぶき
	T	わだ	桧皮葺	ひわだぶき
	T	わだ	桧皮葺き	ひわだぶき
	T	わだ	檜皮	ひわだ
MISSING_CANDIDATE	真	さな	4
	T	さな	真田	さなだ
	T	さな	真田紐	さなだひも
	T	さな	真田編み	さなだあみ
	T	さな	真田虫	さなだむし
MISSING_CANDIDATE	真	まっ	16
	T	まっ	真すぐ	まっすぐ
	T	まっ	真先	まっさき
	T	まっ	真只中	まっただなか
	T	まっ	真向	まっこう
	T	まっ	真向勝負	まっこうしょうぶ
MISSING_CANDIDATE	真	まん	7
	T	まん	ど真中	どまんなか
	T	まん	ド真中	どまんなか
	T	まん	真中分け	まんなかわけ
	T	まん	真名	まんな
	T	まん	真字	まんな
MISSING_CANDIDATE	着	きせ	3
	T	きせ	仕着	しきせ
	T	きせ	着替	きせかえ
	T	きせ	着替え	きせかえ
MISSING_CANDIDATE	短	みじ	5
	T	みじ	気短か	きみじか
	T	みじ	短かい	みじかい
	T	みじ	短かめ	みじかめ
	T	みじ	短か夜	みじかよ
	T	みじ	短か目	みじかめ
MISSING_CANDIDATE	礼	いや	3
	T	いや	礼やか	いややか
	T	いや	礼事	いやごと
	T	いや	礼言	いやごと
MISSING_CANDIDATE	礼	め	3
	T	め	無礼	なめ
	T	め	無礼る	なめる
MISSING_CANDIDATE	礼	れ	3
	T	れ	名礼	なれ
	T	れ	牟礼	むれ
	T	れ	礼文草	れぶんそう
MISSING_CANDIDATE	神	か	11
	T	か	神奈川	かながわ
	T	か	神奈川大学	かながわだいがく
	T	か	神奈川工科大学	かながわこうかだいがく
	T	か	神奈川条約	かながわじょうやく
	T	か	神奈川歯科大学	かながわしかだいがく
MISSING_CANDIDATE	神	かむ	9
