MISSING_CANDIDATE	証	あか	6
	T	あか	証し	あかし
	T	あか	証しとして	あかしとして
	T	あか	証しを立てる	あかしをたてる
	T	あか	証し人	あかしびと
	T	あか	証す	あかす
MISSING_CANDIDATE	証	しょ	3
	T	しょ	内証	ないしょ
	T	しょ	内証事	ないしょごと
	T	しょ	内証話	ないしょばなし
MISSING_CANDIDATE	豊	ぶん	3
	T	ぶん	豊後	ぶんご
	T	ぶん	豊後梅	ぶんごうめ
	T	ぶん	豊後風土記	ぶんごふどき
MISSING_CANDIDATE	豊	ぽう	3
	T	ぽう	咸豊	かんぽう
	T	ぽう	日豊本線	にっぽうほんせん
	T	ぽう	日豊線	にっぽうせん
MISSING_CANDIDATE	迷	まい	11
	T	まい	世迷事	よまいごと
	T	まい	世迷言	よまいごと
	T	まい	迷児	まいご
	T	まい	迷子	まいご
	T	まい	迷子になる	まいごになる
MISSING_CANDIDATE	造	ぞ	4
	T	ぞ	ご新造	ごしんぞ
	T	ぞ	万年新造	まんねんしんぞ
	T	ぞ	御新造	ごしんぞ
	T	ぞ	新造	しんぞ
MISSING_CANDIDATE	過	すぎ	11
	T	すぎ	過去る	すぎさる
	T	すぎ	過物	すぎもの
	T	すぎ	過者	すぎもの
	T	すぎ	過行く	すぎいく
	T	すぎ	過行く	すぎゆく
MISSING_CANDIDATE	過	すご	8
	T	すご	やり過す	やりすごす
	T	すご	乗り過す	のりすごす
	T	すご	思い過す	おもいすごす
	T	すご	聞き過す	ききすごす
	T	すご	見過す	みすごす
MISSING_CANDIDATE	酸	ず	4
	T	ず	甘酸っぱい	あまずっぱい
	T	ず	虫酸	むしず
	T	ず	虫酸が走る	むしずがはしる
	T	ず	酸実	ずみ
MISSING_CANDIDATE	銅	ど	7
	T	ど	銅羅	どら
	T	ど	銅鑼	どら
	T	ど	銅鑼声	どらごえ
	T	ど	銅鑼焼	どらやき
	T	ど	銅鑼焼き	どらやき
MISSING_CANDIDATE	限	き	4
	T	き	っ限り	っきり
	T	き	限り	きり
	T	き	限り無し	きりなし
MISSING_CANDIDATE	限	きり	4
	T	きり	限	きり
	T	きり	限月	きりげつ
	T	きり	限無し	きりなし
MISSING_CANDIDATE	限	ぎり	3
	T	ぎり	中限	なかぎり
	T	ぎり	当限	とうぎり
	T	ぎり	村限	むらぎり
MISSING_CANDIDATE	際	ざい	4
	T	ざい	分際	ぶんざい
	T	ざい	尽未来際	じんみらいざい
	T	ざい	無辺際	むへんざい
	T	ざい	金輪際	こんりんざい
MISSING_CANDIDATE	雑	ま	12
	T	ま	扱き雑ぜる	こきまぜる
	T	ま	掻き雑ぜる	かきまぜる
	T	ま	搔き雑ぜる	かきまぜる
	T	ま	雑ざる	まざる
	T	ま	雑じり気	まじりけ
MISSING_CANDIDATE	非	ぴ	4
	T	ぴ	人非人	にんぴにん
	T	ぴ	先非	せんぴ
	T	ぴ	前非	ぜんぴ
	T	ぴ	韓非子	かんぴし
MISSING_CANDIDATE	額	かく	3
	T	かく	抹額	まっかく
	T	かく	末額	まっかく
	T	かく	評価額	ひょうかかく
MISSING_CANDIDATE	額	ぬか	7
	T	ぬか	額ずく	ぬかずく
	T	ぬか	額づく	ぬかづく
	T	ぬか	額突く	ぬかつく
	T	ぬか	額突く	ぬかづく
	T	ぬか	額突虫	ぬかつきむし
MISSING_CANDIDATE	額	びたい	5
	T	びたい	出額	でびたい
	T	びたい	大額	おおびたい
	T	びたい	富士額	ふじびたい
	T	びたい	猫額	ねこびたい
	T	びたい	白額	しろびたい
